Ax,Ay,Az,Gx,Gy,Gz
0.4122061030515257,0.5733233233233233,0.7582582582582582,0.384629471371017,0.5164815040898547,1.0
0.4997498749374687,0.5025025025025024,0.7565065065065064,0.5018923208399463,0.4935905261872787,0.4983814988576312
0.7526263131565782,1.0,0.892142142142142,0.0,1.0,0.0
0.5012506253126563,0.5115115115115114,0.7632632632632632,0.4886774683014458,0.3800966217276802,0.8619530146327851
0.3989494747373686,0.5132632632632632,0.7187187187187187,0.4879746062751801,0.0289498927394178,0.7762788426321572
0.5505252626313156,0.5122622622622621,0.7329829829829829,0.2758811936445925,0.3208242496119434,1.0
0.4997498749374687,0.5027527527527527,0.7562562562562563,0.5018469749027679,0.4936969147321973,0.4984285888693165
0.3879439719859929,0.129129129129129,0.0202702702702703,0.3241205504299144,0.1846852817552365,0.3623646162164048
0.4994997498749374,0.5030030030030029,0.7567567567567567,0.5018923208399463,0.4935591328461552,0.4983971955281929
0.9997498749374686,0.5915915915915915,0.0,0.5796309538343478,0.8598461726284947,0.2499380853550064
0.5007503751875937,0.5030030030030029,0.7567567567567567,0.5018923208399463,0.4936672654655807,0.4983971955281929
0.4994997498749374,0.5025025025025024,0.7562562562562563,0.5018312782322061,0.4936672654655807,0.4984285888693165
0.3941970985492746,0.4954954954954954,0.7590090090090089,0.4955142403683485,0.4943230374801611,0.5524059507822174
0.5902951475737868,0.6549049049049048,0.2007007007007007,1.0,1.0,0.829202783542913
0.3791895947973986,0.5913413413413412,0.75,0.5111254512792787,0.5002738196975774,0.8950834539651533
0.4417208604302151,0.5255255255255254,0.7379879879879879,0.4505240943893123,0.5112771857613757,0.6752533268221218
0.4989994997498749,0.5030030030030029,0.7565065065065064,0.5018923208399463,0.4937126114027591,0.4984442855398782
0.4052026013006503,0.6173673673673673,0.7264764764764764,1.0,0.5233950154350594,0.6657760259518286
0.4997498749374687,0.5025025025025024,0.7552552552552552,0.5018155815616443,0.4937126114027591,0.4983675462615763
0.6015507753876937,0.5913413413413412,0.7917917917917918,0.5115980954706385,0.5490782566231229,0.3543819871984931
0.5002501250625312,0.502002002002002,0.7567567567567567,0.5019080175105081,0.4936201754538954,0.4983971955281929
0.4997498749374687,0.5025025025025024,0.7565065065065064,0.5018766241693845,0.4936969147321973,0.4983814988576312
0.546273136568284,0.5107607607607607,0.7705205205205206,0.5496276400927848,0.5938992273749935,0.347499869194412
0.5290145072536268,0.6754254254254253,0.6984484484484484,1.0,0.3863700577288662,0.5265535343669882
0.5657828914457228,0.4592092092092091,0.7640140140140139,0.4998011755062176,0.5081954061077489,0.9773217991872614
0.4352176088044021,0.5145145145145145,0.6826826826826826,0.4174390009941224,0.3034584997471092,1.0
0.4999999999999999,0.7282282282282281,0.6881881881881882,0.0,0.448403299788967,0.5074471981443047
0.4997498749374687,0.5022522522522521,0.756006006006006,0.5019080175105081,0.4936829621361424,0.4983971955281929
0.6118059029514756,0.5543043043043042,0.6989489489489489,0.4338908558173605,0.5593787606606554,0.0011284162059403
0.4662331165582791,0.3563563563563563,0.8353353353353352,0.64760102551581,0.6047787641488044,0.0
0.3821910955477738,0.5255255255255254,0.7487487487487487,0.5073094162582625,0.5163751155449361,1.0
0.4559779889944972,0.6921921921921921,0.7407407407407407,0.4789559970001918,0.5233950154350594,1.0
0.3346673336668334,0.2625125125125125,0.8215715715715715,0.6772520362069867,0.2555086593299266,0.353619826638994
0.4559779889944972,0.5337837837837837,0.7615115115115114,0.503601513856672,0.4865392329560319,0.7465353959921168
0.5060030015007503,0.4789789789789789,0.7565065065065064,0.496780438460331,0.4961839649789839,0.518373824929801
0.4469734867433716,0.4757257257257256,0.7580080080080079,0.6708582590648272,0.5486056124317631,0.0
0.5150075037518759,0.7870370370370369,0.6906906906906907,0.0143450128189476,0.4712785810209812,0.5540680537872578
0.3656828414207103,0.3083083083083082,0.1936936936936937,0.5658492770811169,0.0,0.6461046095889216
0.2008504252126063,0.2627627627627627,0.4624624624624625,0.0874897535622722,0.4619390620367302,0.0821180040811343
0.656328164082041,0.4289289289289288,0.9249249249249248,0.222713082302876,1.0,0.6154019219701066
0.4922461230615307,0.3093093093093092,0.7765265265265264,0.1497218201161553,0.4930568393881787,0.4690357012051555
0.5502751375687843,0.5242742742742742,0.8088088088088088,0.1869281615710623,0.5296056647539983,1.0
0.9997498749374686,0.2094594594594594,0.2582582582582582,0.4282138932975217,0.8581055862706455,0.0220660306608298
0.3026513256628313,0.8245745745745745,0.506006006006006,0.5793710867328252,0.5028079599560493,0.0
0.9147073536768384,0.4309309309309308,0.8806306306306306,0.5004429949247432,1.0,0.5219299928492945
0.5300150075037519,0.6534034034034033,0.7665165165165164,1.0,0.5067303835219841,0.521516647191168
0.5037518759379689,0.5027527527527527,0.7702702702702702,0.4972530826516909,0.4918499398294295,0.4982594136421508
0.4999999999999999,0.5030030030030029,0.7565065065065064,0.5018923208399463,0.4937283080733209,0.4983814988576312
0.4467233616808403,0.4882382382382381,0.7494994994994995,0.3465545808116923,0.179297835603537,1.0
0.7131065532766382,0.4887387387387386,0.2237237237237237,0.1446552836737185,0.0192284214381638,0.0008702931789246
0.6188094047023511,0.5260260260260259,0.7615115115115114,0.4936829621361424,0.522890977902576,1.0
0.4504752376188093,0.6228728728728727,0.7647647647647646,0.5141165390585486,0.508882571463453,1.0
0.7003501750875437,0.2672672672672672,0.2332332332332332,0.0,0.0,0.0359087500218009
0.4989994997498749,0.5027527527527527,0.7562562562562563,0.5019376667771247,0.4935748295167169,0.4983361529204527
0.4639819909954977,0.699199199199199,0.6556556556556556,1.0,0.5556255123218864,0.4336920313235781
0.4994997498749374,0.5025025025025024,0.7565065065065064,0.5018469749027679,0.4937579573399375,0.4984442855398782
0.0402701350675337,1.0,0.3973973973973974,0.4751260093831208,0.4265500462179744,0.7422327641836859
0.5050025012506253,0.7004504504504503,0.7347347347347346,1.0,0.4521582922022429,0.4907529169646127
0.3516758379189594,0.5943443443443442,0.7555055055055054,0.5031585189319288,0.4776584055670858,0.0
0.5952976488244122,0.5450450450450449,0.6981981981981982,0.0,0.5550761288522246,0.5186179953607618
0.520760380190095,0.9206706706706704,0.7675175175175175,0.8922911906796658,0.5633308334932068,1.0
0.4907453726863431,0.5115115115115114,0.7627627627627627,0.4778415333903064,0.4692659190400614,1.0
0.5062531265632816,0.4079079079079078,0.788038038038038,1.0,0.379425153042538,0.4898372778485096
0.5532766383191595,0.578078078078078,0.7992992992992993,0.4929644034393149,0.4801611524844341,0.4823743830336432
0.2543771885942971,0.412162162162162,0.5265265265265265,0.0332071786106702,0.0,0.998458238135933
0.3861930965482741,0.5758258258258258,0.7517517517517517,0.5000156966705618,0.5054170954183163,0.9581858136979612
0.5475237618809404,0.517017017017017,0.7665165165165164,0.4681654080262308,0.4469696705443257,0.0
0.4997498749374687,0.5027527527527527,0.7562562562562563,0.5019080175105081,0.4936358721244571,0.4984442855398782
0.588544272136068,0.4784784784784784,0.694944944944945,0.0,0.4122207300695886,0.5718471493102185
0.5707853926963481,0.5800800800800799,0.7334834834834835,0.5282784240542756,0.4974815564120899,1.0
0.4534767383691845,0.4817317317317316,0.6101101101101101,0.0,0.5426530861398399,0.4731569492648726
0.4997498749374687,0.6844344344344343,0.6226226226226226,0.9661370493747492,0.6019865008633168,0.4645795908401207
0.5567783891945972,0.4904904904904904,0.8013013013013013,0.5591502869002564,0.4465423722901442,0.4177145647662068
0.8144072036018009,0.1318818818818818,0.2199699699699699,0.0,0.0,0.0
0.4662331165582791,0.4544544544544543,0.7680180180180181,0.4701048188778625,0.5018766241693845,0.0
0.5435217608804401,0.4912412412412411,0.7464964964964964,0.6388876292795228,0.5730680014650226,0.0
0.4487243621810905,0.4824824824824824,0.7602602602602602,0.5398608228543523,0.5382423217119835,0.0
0.4999999999999999,0.5025025025025024,0.756006006006006,0.5019533634476865,0.4936201754538954,0.4983814988576312
0.4684842421210605,0.323073073073073,0.7102102102102101,0.0345954619181331,0.5197621082372639,0.4291748783508031
0.020760380190095,0.9404404404404404,0.897147147147147,1.0,1.0,0.7712436995308439
0.4022011005502751,0.588088088088088,0.7802802802802802,0.4554092470830354,0.5104696792646982,0.0
0.4969984992496247,0.7024524524524524,0.5905905905905906,0.3338873676683468,0.4797181575596909,0.5174738824842597
0.4997498749374687,0.5025025025025024,0.7562562562562563,0.5018469749027679,0.4936515687950189,0.4984582381359331
0.5005002501250625,0.5025025025025024,0.7565065065065064,0.5019690601182483,0.4935905261872787,0.4983518495910145
0.2728864432216107,0.301051051051051,0.2797797797797797,0.9990686642133352,0.0002598671015225,0.431173587735668
0.4299649824912456,0.3643643643643642,0.3373373373373373,0.3015051362994227,0.0,0.1444721558504979
0.5625312656328163,0.5685685685685685,0.7702702702702702,0.4174250483980676,0.4893018469749027,0.4406055426687828
0.5027513756878439,0.6526526526526526,0.5930930930930931,0.5155205190365733,0.5336641261314683,0.5208312259099709
0.2368684342171085,0.6483983983983983,0.7860360360360359,0.531848544569824,0.4231770061217015,0.5198388475155659
0.493496748374187,0.5350350350350349,0.755005005005005,0.5066989901808605,0.4946735964560406,0.6029945759282836
0.4989994997498749,0.5025025025025024,0.7567567567567567,0.5018312782322061,0.4937422606693758,0.4983971955281929
0.4994997498749374,0.5025025025025024,0.7562562562562563,0.5017859322950277,0.4936515687950189,0.4983971955281929
0.5832916458229114,0.4166666666666666,0.6974474474474475,0.0,1.0,0.2770113539250396
0.4999999999999999,0.5025025025025024,0.7565065065065064,0.5018609274988227,0.4936515687950189,0.4983814988576312
0.5002501250625312,0.5025025025025024,0.7565065065065064,0.50198475678881,0.4936829621361424,0.4983222003243978
0.5945472736368184,0.5090090090090089,0.7585085085085085,0.4757660847271395,0.5297277499694787,1.0
0.4344672336168083,0.5285285285285284,0.7274774774774775,0.5051729249873554,0.4021173064513316,0.202799239583515
0.4787393696848424,0.4369369369369368,0.720970970970971,1.0,0.3415944329141741,0.4826952927429059
0.3781890945472736,0.327077077077077,0.894144144144144,0.3454401172018069,1.0,1.0
0.0917958979489745,0.0077577577577577,0.1564064064064064,0.9845719169122904,0.0027015714111306,0.4317386678758916
0.1853426713356678,0.6586586586586586,0.9769769769769768,1.0,0.0,1.0
0.4772386193096548,0.6218718718718718,0.7547547547547546,0.5146955717948271,0.4499607583235956,0.0
0.4664832416208103,0.5017517517517517,0.7242242242242242,0.455515635627954,0.5222491584840504,0.0
0.6220610305152575,0.5110110110110109,0.7587587587587588,0.4991157542250204,0.5052653609362192,0.8109353471580305
0.4987493746873436,0.5030030030030029,0.7562562562562563,0.5017859322950277,0.4937736540104993,0.4983814988576312
0.4899949974987493,0.4664664664664664,0.7427427427427427,0.4804506688525733,0.5647365575457384,0.0
0.22136068034017,0.2234734734734734,0.0,0.0,0.0,0.5415386225299544
0.5017508754377188,0.4559559559559559,0.7317317317317317,0.694985785792769,1.0,0.0
0.5850425212606303,0.5057557557557557,0.725975975975976,0.503906726895373,0.4847393480649493,0.0897936759858381
0.0045022511255627,0.5382882882882882,0.4969969969969969,0.3554807541378167,0.0,0.109327310462703
0.5145072536268134,0.931181181181181,0.5315315315315315,0.0,0.344967473010447,1.5696670561837767e-05
0.0,0.4174174174174173,0.6639139139139139,0.0962641924062995,0.9479916982053472,0.4922789821581178
0.1538269134567284,0.1463963963963964,0.2917917917917918,0.9999389573922596,0.0018312782322061,0.4558661946038335
0.4699849924962481,0.6739239239239239,0.602102102102102,0.0,0.4270854770915813,0.4794582904581683
0.5392696348174086,0.5295295295295295,0.7344844844844844,0.5078291504613077,0.4858695083453965,0.5039224235659348
0.5622811405702851,0.822072072072072,0.8058058058058057,0.4979542006034498,0.6418019777804908,0.0677119486544465
0.0,0.8666166166166165,1.0,0.991347646371453,0.7671224514711268,0.9995273558086402
0.5497748874437218,0.4964964964964964,0.7525025025025025,0.518450564208103,0.725690217486091,0.0
0.4997498749374687,0.5025025025025024,0.7562562562562563,0.5019219701065629,0.4936358721244571,0.4984285888693165
